,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,diff_1,diff_3,diff_2,diff_7,label_0,label_1,label_2,label_3,len_path4,len_path5,len_path2,len_path9,len_path3,ann_shorter_3,ann_shorter_6,ann_longer_1,ann_longer_2,ann_longer_0,ann_longer_4,diff_4,len_path6,ann_shorter_2,ann_shorter_1,ann_longer_3,len_path7,ann_longer_6,diff_6,ann_shorter_4,ann_longer_7,diff_5,ann_shorter_5,ann_longer_5,len_path8,len_path10,diff_8,ann_shorter_7,len_path11,len_path12,diff_9,diff_11,len_path13,ann_shorter_9,ann_longer_8,ann_shorter_8,diff_10,diff_12,len_path14,ann_longer_9,ann_longer_10,ann_longer_11,ann_longer_12,diff_13,len_path15,ann_shorter_10
1587729600.0,2020-04-24 12:00:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,3,3,4,0,307,"{'162.158.25.0/24', '104.31.80.0/20', '104.28.160.0/20', '104.28.176.0/20'}",13335,11,293,0,set(),3.0,1.0,5.0,2.0,0,0,0,0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729660.0,2020-04-24 12:01:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,2,5,0,0,3,set(),13335,0,1,0,set(),,,,,0,0,0,0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729720.0,2020-04-24 12:02:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,28,33,0,0,146,set(),13335,28,90,1,{'103.21.244.0/24'},7.0,4.0,16.0,,0,0,0,0,12.0,15.0,7.0,,15.0,2.0,,9.0,3.0,2.0,,1.0,7.0,7.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729780.0,2020-04-24 12:03:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,5,34,67,0,0,169,set(),13335,33,102,5,"{'172.64.160.0/20', '172.64.96.0/20', '172.64.192.0/20', '172.64.128.0/20', '103.21.244.0/24'}",9.0,4.0,20.0,,0,0,0,0,15.0,11.0,11.0,,25.0,,,10.0,7.0,2.0,,,4.0,6.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729840.0,2020-04-24 12:04:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,3,7,74,0,0,273,set(),13335,81,185,2,"{'103.21.244.0/24', '172.68.144.0/22'}",14.0,8.0,56.0,,0,0,0,0,29.0,25.0,4.0,,16.0,1.0,,21.0,16.0,14.0,,3.0,14.0,14.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729900.0,2020-04-24 12:05:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,75,0,0,19,set(),13335,2,16,0,set(),1.0,,,,0,0,0,0,,1.0,,,2.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729960.0,2020-04-24 12:06:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,3,78,0,0,25,set(),13335,3,19,0,set(),1.0,,2.0,,0,0,0,0,2.0,1.0,1.0,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730020.0,2020-04-24 12:07:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,1,79,0,0,8,set(),13335,2,5,1,{'103.21.244.0/24'},2.0,,,,0,0,0,0,1.0,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730080.0,2020-04-24 12:08:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,2,7,86,3,0,149,"{'197.234.241.0/24', '197.234.242.0/24', '197.234.240.0/24'}",13335,9,133,2,"{'173.245.49.0/24', '103.21.244.0/24'}",7.0,,2.0,,0,0,0,0,3.0,,5.0,,8.0,,,5.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730140.0,2020-04-24 12:09:00,5,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,86,0,0,3,set(),13335,2,1,0,set(),1.0,,1.0,,0,0,0,0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
