,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,label_0,label_1,label_2,label_3,diff_1,len_path3,len_path2,ann_shorter_1,ann_longer_1,len_path4,len_path5,diff_2,ann_longer_0
1587729600.0,2020-04-24 12:00:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,0,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587729660.0,2020-04-24 12:01:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,0,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587729720.0,2020-04-24 12:02:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,1,0,0,8,set(),18106,1,6,0,set(),0,0,0,0,1.0,1.0,1.0,1.0,,,,,
1587729780.0,2020-04-24 12:03:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587729840.0,2020-04-24 12:04:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587729900.0,2020-04-24 12:05:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587729960.0,2020-04-24 12:06:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587730020.0,2020-04-24 12:07:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587730080.0,2020-04-24 12:08:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587730140.0,2020-04-24 12:09:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587730200.0,2020-04-24 12:10:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587730260.0,2020-04-24 12:11:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587730320.0,2020-04-24 12:12:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,1,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587730380.0,2020-04-24 12:13:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,2,0,0,17,set(),18106,0,16,0,set(),0,0,0,0,,,1.0,,,,,,
1587730440.0,2020-04-24 12:14:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,2,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
