,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,diff_3,diff_2,diff_4,label_0,label_1,label_2,label_3,len_path8,len_path7,len_path9,len_path11,len_path12,ann_shorter_1,ann_longer_1,len_path14,ann_longer_3,diff_1,ann_shorter_3,len_path6,len_path4,ann_shorter_2,ann_longer_2,diff_6,diff_5,len_path10,ann_longer_0,ann_shorter_4,ann_longer_4,len_path5,len_path13,diff_7,ann_shorter_5,ann_longer_5,diff_8,ann_shorter_7,diff_10,ann_longer_6,ann_shorter_6,diff_9,len_path15
1587729600.0,2020-04-24 12:00:00,12,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,3,3,0,0,45,set(),24309,3,39,0,set(),1.0,1.0,1.0,0,0,0,0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729660.0,2020-04-24 12:01:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,3,0,0,0,set(),24309,0,0,1,{'49.205.84.0/22'},,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729720.0,2020-04-24 12:02:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,4,0,0,3,set(),24309,1,1,0,set(),,,1.0,0,0,0,0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587729780.0,2020-04-24 12:03:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729840.0,2020-04-24 12:04:00,9,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,10,set(),24309,5,5,0,set(),1.0,1.0,2.0,0,0,0,0,2.0,1.0,1.0,1.0,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1587729900.0,2020-04-24 12:05:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),24309,0,0,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587729960.0,2020-04-24 12:06:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587730020.0,2020-04-24 12:07:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,4,0,0,1,set(),24309,1,0,1,{'49.205.84.0/22'},,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587730080.0,2020-04-24 12:08:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,1,set(),24309,0,1,0,set(),,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587730140.0,2020-04-24 12:09:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,2,set(),24309,2,0,0,set(),,,1.0,0,0,0,0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1587730200.0,2020-04-24 12:10:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,2,set(),24309,2,0,0,set(),,,2.0,0,0,0,0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587730260.0,2020-04-24 12:11:00,11,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,4,0,0,1,set(),24309,1,0,1,{'49.205.84.0/22'},,,1.0,0,0,0,0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587730320.0,2020-04-24 12:12:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,1,set(),24309,1,0,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1587730380.0,2020-04-24 12:13:00,7,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,5,3,0,36,"{'49.207.176.0/24', '183.82.34.0/24', '183.82.32.0/24'}",24309,7,28,0,set(),,6.0,,0,0,0,0,,1.0,,,,,1.0,,,1.0,,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,
1587730440.0,2020-04-24 12:14:00,9,0,"defaultdict(<class 'set'>, {})",set(),0,0,1,0,5,0,0,13,set(),24309,4,9,1,{'49.205.84.0/22'},1.0,1.0,2.0,0,0,0,0,1.0,1.0,1.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1587730500.0,2020-04-24 12:15:00,14,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,2,set(),24309,1,1,0,set(),,,1.0,0,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
