流量速率(Mbps),BQR,ASSOLO,PTR,pathload,Spruce
0.00,6504.04,2027.59,15495.30,3572109.92,282993.00
100.00,6237.72,2028.76,15697.53,5037546.81,282993.00
200.00,5969.51,2028.47,111345.36,3395266.79,282993.00
300.00,5709.27,2028.56,116756.79,3308839.95,282993.00
400.00,5604.97,2027.88,108680.96,8397434.58,282993.00
500.00,5816.57,2028.04,231313.43,5035764.94,282993.00
600.00,7304.18,2028.47,251737.18,5259124.78,282993.00
700.00,9972.03,2029.67,380357.32,5588154.52,282993.00
800.00,16003.55,2026.41,669533.21,2932119.43,282993.00
900.00,43155.47,2027.97,2064896.41,2572481.77,282993.00
